userId,productId,productName,category,subcategory,price,action,timestamp
66a0f2c7a56de48f22d0ca08,663209ab33f7e8cb27162c53,Hoodie Zipper Hoodie Black - GymBeam,Clothes for men,Hoodies,30.00,viewed,1738756795
66a0f2c7a56de48f22d0ca08,67601199b637cdbfbb2adf11,Nebula Stone Blue Shorts - STRIX,Clothes for men,Short pants,25.50,viewed,1738756810
66a0f2c7a56de48f22d0ca08,6632093e33f7e8cb27162c4c,Compression Tshirt Hg Armour Comp White Under Armour,Clothes for men,T-Shirt,25.00,viewed,1738756834
66a0f2c7a56de48f22d0ca08,663209ab33f7e8cb27162c53,Hoodie Zipper Hoodie Black - GymBeam,Clothes for men,Hoodies,30.00,viewed,1738756838
66a0f2c7a56de48f22d0ca08,663209ab33f7e8cb27162c53,Hoodie Zipper Hoodie Black - GymBeam,Clothes for men,Hoodies,30,added_to_favorite,1738756861
66bcb2a87ace238e8cdd5f40,6760161cb637cdbfbb2ae239,LIFT Belts Black & Gray - GymBeam,Fitness accessories,Classic straps and hooks straps,5.70,viewed,1738756924
66bcb2a87ace238e8cdd5f40,676012e9b637cdbfbb2adf94,Resistance band with handles 5 kg - GymBeam,Workout home,Resistance bands and elastic bands,24.98,viewed,1738756931
66bcb2a87ace238e8cdd5f40,676012c0b637cdbfbb2adf87,Yoga Tape - Spokey,Workout home,Resistance bands and elastic bands,6.90,viewed,1738756936
66bcb2a87ace238e8cdd5f40,6760135cb637cdbfbb2adfd5,Adjustable Dumbbell 3-20kg - GymBeam,Workout home,Dumbbells,140.67,added_to_favorite,1738756961
66bcb2a87ace238e8cdd5f40,6760184ab637cdbfbb2ae37c,Flat bench - GymBeam,Workout home,Home workouts & others,198.89,viewed,1738756969
66bcb2a87ace238e8cdd5f40,6760184ab637cdbfbb2ae37c,Flat bench - GymBeam,Workout home,Home workouts & others,198.89,added_to_cart,1738756976
66bcb2a87ace238e8cdd5f40,6760184ab637cdbfbb2ae37c,Flat bench - GymBeam,Workout home,Home workouts & others,198.89,purchased,1738756995
66bcb2a87ace238e8cdd5f40,6760135cb637cdbfbb2adfd5,Adjustable Dumbbell 3-20kg - GymBeam,Workout home,Dumbbells,140.67,viewed,1738757020
66bcb2a87ace238e8cdd5f40,6760135cb637cdbfbb2adfd5,Adjustable Dumbbell 3-20kg - GymBeam,Workout home,Dumbbells,140.67,added_to_cart,1738757036
66bcb2a87ace238e8cdd5f40,6760135cb637cdbfbb2adfd5,Adjustable Dumbbell 3-20kg - GymBeam,Workout home,Dumbbells,140.67,purchased,1738757047
66bcb2a87ace238e8cdd5f40,676012c0b637cdbfbb2adf87,Yoga Tape - Spokey,Workout home,Resistance bands and elastic bands,6.90,added_to_cart,1738757082
66bcb2a87ace238e8cdd5f40,676012c0b637cdbfbb2adf87,Yoga Tape - Spokey,Workout home,Resistance bands and elastic bands,6.90,purchased,1738757093
66bcb2a87ace238e8cdd5f40,676013a3b637cdbfbb2adfe2,Dumbbell - Climaqx,Workout home,Dumbbells,154.99,viewed,1738757107
67601e67b682385a7b8c2be9,676013ddb637cdbfbb2adfef,Eternal Power Olympic Bar - GymBeam,Workout home,Dumbbells,247.98,viewed,1738757151
67601e67b682385a7b8c2be9,67601418b637cdbfbb2adffc,Competition Bumper Plate Weight - GymBeam,Workout home,Dumbbells,134.87,viewed,1738757156
67601e67b682385a7b8c2be9,6760184ab637cdbfbb2ae37c,Flat bench - GymBeam,Workout home,Home workouts & others,198.89,viewed,1738757161
67601e67b682385a7b8c2be9,6760188ab637cdbfbb2ae389,Adjustable bench - GymBeam,Workout home,Home workouts & others,239.80,viewed,1738757166
67601e67b682385a7b8c2be9,676013ddb637cdbfbb2adfef,Eternal Power Olympic Bar - GymBeam,Workout home,Dumbbells,247.98,viewed,1738757177
67601e67b682385a7b8c2be9,6760135cb637cdbfbb2adfd5,Adjustable Dumbbell 3-20kg - GymBeam,Workout home,Dumbbells,140.67,viewed,1738757180
67601e67b682385a7b8c2be9,676013a3b637cdbfbb2adfe2,Dumbbell - Climaqx,Workout home,Dumbbells,154.99,viewed,1738757184
67601e67b682385a7b8c2be9,67601418b637cdbfbb2adffc,Competition Bumper Plate Weight - GymBeam,Workout home,Dumbbells,134.87,viewed,1738757194
